index,%time,positionX,positionY,theta
0,2781000000,2.0263842645900003,-0.146337069757,-0.12310668732100001
1,2801000000,2.03814619338,-0.14814229579000002,-0.12401023341600001
5,2881000000,2.08517613042,-0.15547025083,-0.127613611744
9,2961000000,2.13217928833,-0.16296934693700002,-0.131212977437
12,3021000000,2.16741290679,-0.16870463682300002,-0.133911977493
16,3101000000,2.21436648623,-0.176501872729,-0.137525213057
19,3161000000,2.24956303935,-0.182460745622,-0.140235082059
22,3221000000,2.28474250222,-0.18851526645999997,-0.142944548216
26,3301000000,2.33162198185,-0.196737281312,-0.146557305587
29,3361000000,2.3445827588099997,-0.199003165052,-0.14760911238500002
33,3441000000,2.30134083378,-0.19719119901999999,-0.157359384956
37,3521000000,2.25631634982,-0.194734749782,-0.16814525741
40,3581000000,2.22261334228,-0.19257920611600002,-0.176234936818
44,3661000000,2.17777956654,-0.189290211346,-0.1870213499
46,3701000000,2.1553117932299997,-0.187451314811,-0.19241473333700002
51,3801000000,2.09938659271,-0.182360462408,-0.205898141249
54,3861000000,2.0658239575599997,-0.17893118712499997,-0.21398840729600002
58,3941000000,2.02118747002,-0.17394973506900002,-0.224775514165
61,4001000000,1.98776979407,-0.169902482139,-0.23286594176699998
65,4081000000,1.9432808330900002,-0.164087245808,-0.243653277048
69,4161000000,1.89886745335,-0.157789465399,-0.254440655056
73,4241000000,1.85452756933,-0.15101285294800001,-0.265228126032
76,4301000000,1.82132415768,-0.145615285567,-0.27331878378400004
80,4381000000,1.77712593319,-0.137998620553,-0.284106273807
83,4441000000,1.74403376531,-0.131972954628,-0.292196866258
86,4501000000,1.71099266867,-0.12567870237700002,-0.300287436601
90,4581000000,1.6670206831299998,-0.11686968711300001,-0.311074751955
94,4661000000,1.6231482994,-0.10758490235,-0.32186204183600003
98,4741000000,1.57938009962,-0.09782685146060001,-0.332649117278
101,4801000000,1.54662624024,-0.0901960676187,-0.340739384671
105,4881000000,1.50305347503,-0.0796100884661,-0.35152622895900004
109,4961000000,1.4595994769,-0.06855273552569999,-0.362312782431
113,5041000000,1.4162703818900002,-0.05702248666259999,-0.373099128222
116,5102000000,1.38385696694,-0.0480692105236,-0.38118867114200006
120,5181000000,1.34021684343,-0.035564741212400004,-0.392108083161
123,5241000000,1.30852065324,-0.026153568514,-0.40006371969899995
127,5321000000,1.2656634735299999,-0.012991900150799998,-0.41084897167900003
129,5361000000,1.24429009759,-0.00623576343993,-0.41624146213
132,5421000000,1.21229913893,0.004113210997449999,-0.424330035463
134,5461000000,1.20165446717,0.007620591797710001,-0.427026164807
136,5501000000,1.16977851058,0.0183155273265,-0.43511435874
138,5541000000,1.1485769992100001,0.0255892290582,-0.44050637282099997
141,5601000000,1.11685001195,0.036714841017199996,-0.448594177581
143,5641000000,1.09574974823,0.044274981036400006,-0.453985897849
145,5681000000,1.07469107328,0.0519493027816,-0.45937749412600004
148,5741000000,1.0431823602299999,0.0636743902427,-0.46746464820100003
150,5781000000,1.0222303197799998,0.0716331772579,-0.472855918693
153,5842000000,0.990885123659,0.0837852087274,-0.480942568425
