index,%time,positionX,positionY,theta
0,5081000000,-4.98871518112,-0.164550013298,-1.6263419730500002
0,5081000000,-4.98871518112,-0.164550013298,-1.6263419730500002
1,5101000000,-4.98768626581,-0.19459421090100001,-1.6202854113999998
2,5121000000,-4.98648420565,-0.22463135958900002,-1.61421877745
5,5181000000,-4.981785493369999,-0.31469316917199996,-1.5960398277799999
8,5241000000,-4.97564070778,-0.40465724575900003,-1.577938818
10,5281000000,-4.97073221948,-0.464564801884,-1.5659152543000001
13,5341000000,-4.96201660667,-0.554302811548,-1.54787725719
15,5381000000,-4.955305404040001,-0.614033084392,-1.53585005786
18,5441000000,-4.94388175505,-0.703463958242,-1.51780674024
21,5501000000,-4.93084025111,-0.792671281696,-1.49975973438
23,5541000000,-4.92125709636,-0.8520049062739999,-1.4877266558500002
26,5604000000,-4.9055422359500005,-0.940776473458,-1.46967438989
28,5641000000,-4.89417438265,-0.9997921288860001,-1.45763786683
30,5681000000,-4.88209532604,-1.05866553195,-1.44559986016
33,5741000000,-4.86264695159,-1.1466901284,-1.42754020233
35,5781000000,-4.8487974846599995,-1.20517040848,-1.41549860688
38,5841000000,-4.82669341384,-1.2925638394499999,-1.3974337729700002
41,5901000000,-4.80301934607,-1.37954270831,-1.37936582681
43,5941000000,-4.78636316624,-1.4372833261000002,-1.3673186207899999
45,5981000000,-4.769002116619999,-1.4948159567,-1.35527020968
48,6041000000,-4.74167416429,-1.58071287315,-1.3371951714499999
50,6081000000,-4.722592816130001,-1.63769564044,-1.32514337687
53,6141000000,-4.6926748536,-1.72272356372,-1.3070631111
56,6201000000,-4.661229527430001,-1.80719633473,-1.28897987083
58,6241000000,-4.63941758328,-1.8631879821200001,-1.2769227974700001
61,6301000000,-4.60543483769,-1.9466698067500001,-1.25883492932
63,6341000000,-4.581941179069999,-2.0019753959599997,-1.2467745541
65,6381000000,-4.55778064232,-2.05699235284,-1.2347129922799998
68,6441000000,-4.52028852347,-2.13895596851,-1.21661829441
70,6481000000,-4.49447617075,-2.1932161854,-1.2045536004700002
73,6541000000,-4.4545235605,-2.27400701993,-1.1864542714700002
75,6581000000,-4.42708261168,-2.32746073362,-1.1743865040600001
78,6641000000,-4.3847137502999995,-2.40700836198,-1.1562826186700002
80,6681000000,-4.35566058506,-2.45960304775,-1.1442118789799998
83,6741000000,-4.31090526451,-2.53783115613,-1.12610355998
85,6783000000,-4.28027451019,-2.58952189,-1.11402991631
88,6841000000,-4.23317314295,-2.66635868614,-1.09591736457
91,6901000000,-4.18467637805,-2.74232266958,-1.0778021114
93,6941000000,-4.151579647069999,-2.7924687390400003,-1.06572394481
95,6981000000,-4.11788607489,-2.8422145139899997,-1.05364466494
98,7041000000,-4.06622242992,-2.91605855467,-1.03552384902
100,7081000000,-4.03103844489,-2.9647609053099995,-1.02344190612
103,7141000000,-3.97716290931,-3.03700599552,-1.0053169218200002
105,7181000000,-3.9405128098300004,-3.08461524079,-0.9932323994869999
108,7241000000,-3.8844591699300004,-3.1551849474,-0.975103806776
110,7281000000,-3.84639149166,-3.2016670422000004,-0.963016514255
113,7341000000,-3.78823334875,-3.27051131157,-0.944884330633
116,7401000000,-3.72884084197,-3.3382919146900005,-0.9267496569760001
118,7441000000,-3.68856539758,-3.3828742087,-0.914658776494
120,7481000000,-3.6477524781199997,-3.42696495181,-0.902566975087
123,7541000000,-3.58553837399,-3.4921652062599997,-0.8844275790970001
125,7581000000,-3.5434009827199997,-3.5349930271900005,-0.872333559664
128,7641000000,-3.47923928644,-3.5982776919300004,-0.85419098424
131,7701000000,-3.4139369671399997,-3.6603849628199994,-0.8360462816259999
133,7741000000,-3.36977231569,-3.7011193639899997,-0.8239488832809999
136,7801000000,-3.30261034476,-3.76121231785,-0.8058013790180001
138,7841000000,-3.25723728773,-3.80059547554,-0.793701960487
141,7901000000,-3.1882901471900005,-3.85863119668,-0.7755511915469999
143,7941000000,-3.14174347407,-3.8966206722099996,-0.76344956734
146,8001000000,-3.07106762033,-3.9525393528800006,-0.7452957672050001
148,8041000000,-3.02338988089,-3.98910008744,-0.733191721842
151,8101000000,-2.9510439605400003,-4.04284331679,-0.7150328361380001
153,8141000000,-2.90227881176,-4.0779415224,-0.702926028628
155,8181000000,-2.85309108092,-4.11244563549,-0.6908183524789999
158,8241000000,-2.77853307527,-4.16307660816,-0.672656643862
161,8301000000,-2.70306520569,-4.21234245663,-0.654489719008
163,8341000000,-2.65224906222,-4.2444054354,-0.6423783555879999
165,8381000000,-2.60105810179,-4.275864036580001,-0.630265869811
168,8441000000,-2.52356453887,-4.321881684709999,-0.612098348188
171,8501000000,-2.44524527681,-4.366481369790001,-0.593924409682
173,8541000000,-2.39258136653,-4.3954118833499995,-0.5818117368410001
176,8601000000,-2.33956982158,-4.42370123384,-0.56969018297
178,8641000000,-2.2594249414200003,-4.46493547346,-0.551520524377
181,8701000000,-2.1785415387400002,-4.50470421137,-0.533341075368
