%time,field.x,field.y,field.theta
5081000000,-4.98871518112,-0.164550013298,-1.62634197305
5101000000,-4.98768626581,-0.194594210901,-1.6202854114
5121000000,-4.98648420565,-0.224631359589,-1.61421877745
5141000000,-4.98510002505,-0.254660957329,-1.60815236131
5161000000,-4.98353376914,-0.284681945748,-1.60209604784
5181000000,-4.98178549337,-0.314693169172,-1.59603982778
5201000000,-4.9798552293,-0.344693540342,-1.58997443155
5221000000,-4.97783309211,-0.374681868357,-1.58395840144
5241000000,-4.97564070778,-0.404657245759,-1.577938818
5261000000,-4.97327671426,-0.434618597542,-1.57192728112
5281000000,-4.97073221948,-0.464564801884,-1.5659152543
5301000000,-4.96800730894,-0.49449502773,-1.55990299126
5321000000,-4.9651020725,-0.524408067464,-1.55389025309
5341000000,-4.96201660667,-0.554302811548,-1.54787725719
5361000000,-4.95875101454,-0.584178164532,-1.54186378461
5381000000,-4.95530540404,-0.614033084392,-1.53585005786
5401000000,-4.95167989238,-0.643866441474,-1.5298358534
5421000000,-4.94768320172,-0.675166525758,-1.52351911941
5441000000,-4.94388175505,-0.703463958242,-1.51780674024
5460000000,-4.94388175505,-0.703463958242,-1.51780674024
5481000000,-4.93537231886,-0.762962400797,-1.50577562475
5501000000,-4.93084025111,-0.792671281696,-1.49975973438
5521000000,-4.92613812629,-0.822352682936,-1.49374346182
5541000000,-4.92125709636,-0.852004906274,-1.48772665585
5561000000,-4.91619731928,-0.88162701552,-1.48170967436
5582000000,-4.91095896783,-0.911217942613,-1.47569221176
5604000000,-4.90554223595,-0.940776473458,-1.46967438989
5621000000,-4.89994731022,-0.970301552182,-1.463656338
5641000000,-4.89417438265,-0.999792128886,-1.45763786683
5661000000,-4.88822365231,-1.02924714539,-1.45161910511
5681000000,-4.88209532604,-1.05866553195,-1.44559986016
5701000000,-4.87578962026,-1.08804619633,-1.43958039205
5721000000,-4.86930675403,-1.11738807885,-1.43356057205
5741000000,-4.86264695159,-1.1466901284,-1.42754020233
5761000000,-4.85581045137,-1.17595124173,-1.42151968128
5781000000,-4.84879748466,-1.20517040848,-1.41549860688
5801000000,-4.841599378,-1.2343451339,-1.40947733319
5821000000,-4.83423424473,-1.26347708971,-1.40345575691
5841000000,-4.82669341384,-1.29256383945,-1.39743377297
5861000000,-4.81897713922,-1.32160439328,-1.39141151505
5881000000,-4.81108567175,-1.35059780239,-1.38538877188
5901000000,-4.80301934607,-1.37954270831,-1.37936582681
5921000000,-4.794778408,-1.40843826372,-1.37334239568
5941000000,-4.78636316624,-1.4372833261,-1.36731862079
5961000000,-4.777773919,-1.46607684385,-1.36129465184
5981000000,-4.76900211662,-1.4948159567,-1.35527020968
6001000000,-4.76006576925,-1.52350328087,-1.3492455523
6021000000,-4.75095634926,-1.55213591177,-1.34322049149
6041000000,-4.74167416429,-1.58071287315,-1.33719517145
6061000000,-4.73221951766,-1.60923322683,-1.33116936502
6081000000,-4.72259281613,-1.63769564044,-1.32514337687
6101000000,-4.71278558004,-1.6660970981,-1.31911691633
6121000000,-4.70281573605,-1.69444079347,-1.31309025271
6141000000,-4.6926748536,-1.72272356372,-1.3070631111
6161000000,-4.68236328248,-1.75094441845,-1.30103579857
6181000000,-4.67188136488,-1.77910241462,-1.29500799927
6201000000,-4.66122952743,-1.80719633473,-1.28897987083
6221000000,-4.65040814325,-1.83522518074,-1.28295157834
6241000000,-4.63941758328,-1.86318798212,-1.27692279747
6261000000,-4.62825824746,-1.89108369277,-1.2708938573
6281000000,-4.62825824433,-1.89108370282,-1.2708937744
6301000000,-4.60543483769,-1.94666980675,-1.25883492932
6321000000,-4.59377158402,-1.97435816592,-1.25280502692
6341000000,-4.58194117907,-2.00197539596,-1.2467745541
6361000000,-4.56994405332,-2.02952046611,-1.2407438455
6381000000,-4.55778064232,-2.05699235284,-1.23471299228
6401000000,-4.54545137409,-2.08439007452,-1.22868173821
6421000000,-4.5329481666,-2.11170960464,-1.22265027342
6441000000,-4.52028852347,-2.13895596851,-1.21661829441
6461000000,-4.50746437477,-2.16612515178,-1.21058618909
6481000000,-4.49447617075,-2.1932161854,-1.20455360047
6501000000,-4.48132437836,-2.2202280751,-1.19852070174
6521000000,-4.4680094931,-2.24715977352,-1.19248767618
6541000000,-4.4545235605,-2.27400701993,-1.18645427147
6561000000,-4.4545235605,-2.27400701993,-1.18645427147
6581000000,-4.42708261168,-2.32746073362,-1.17438650406
6602000000,-4.41312014814,-2.35406197541,-1.16835226683
6621000000,-4.39899700851,-2.38057821319,-1.16231745232
6641000000,-4.3847137503,-2.40700836198,-1.15628261867
6661000000,-4.37026257422,-2.43334788218,-1.15024731677
6681000000,-4.35566058506,-2.45960304775,-1.14421187898
6701000000,-4.34090002726,-2.48576926176,-1.13817606343
6721000000,-4.32598140956,-2.51184561333,-1.13214005273
6741000000,-4.31090526451,-2.53783115613,-1.12610355998
6761000000,-4.29567217545,-2.56372485451,-1.12006697059
6783000000,-4.28027451019,-2.58952189,-1.11402991631
