index,%time,positionX,positionY,theta
0,1541000000,-0.5299218371369999,-0.0868816163436,-2.86727958193
0,1541000000,-0.5299218371369999,-0.0868816163436,-2.86727958193
2,1581000000,-0.5182176697559999,-0.0880181433656,-2.85749060805
4,1621000000,-0.506504808912,-0.0890361584173,-2.84770268686
6,1661000000,-0.49478364192,-0.08993961153669999,-2.8379158317699997
9,1719000000,-0.483054481771,-0.0907281836683,-2.8281299868199996
11,1761000000,-0.46545006022200003,-0.0916934577213,-2.8134532741900005
14,1821000000,-0.447834926761,-0.0923970829554,-2.7987787835000004
17,1881000000,-0.430213832538,-0.0928392969453,-2.78410658796
19,1921000000,-0.418465352104,-0.092989002011,-2.77432643028
21,1961000000,-0.40671680857000003,-0.0930224404073,-2.7645472457899998
24,2021000000,-0.38909742477,-0.09285379612919999,-2.74988031069
26,2061000000,-0.377353456077,-0.0925963754366,-2.7401036366000002
29,2121000000,-0.35974741378200004,-0.09199370687339999,-2.72544035933
31,2161000000,-0.34801743887100006,-0.09144564275039999,-2.7156660764300002
34,2221000000,-0.33043538746,-0.09040681299280001,-2.7010063970999996
36,2261000000,-0.318724733475,-0.08956930580700001,-2.69123443541
40,2341000000,-0.306410619556,-0.0885036285402,-2.6811391806400002
41,2361000000,-0.300522136215,-0.0867629615993,-2.67868441678
44,2417000000,-0.287370937163,-0.08277162188310001,-2.6723957996200003
46,2461000000,-0.267500611171,-0.0765587407064,-2.66446490727
49,2521000000,-0.247670391033,-0.0701808652746,-2.65653510993
52,2581000000,-0.227904929181,-0.06365168867399999,-2.64860641273
54,2621000000,-0.214771678687,-0.059217524430599994,-2.64332124614
56,2661000000,-0.201660543139,-0.054713223445300004,-2.63803655046
59,2721000000,-0.18204269208,-0.047826174759,-2.6301104376400004
61,2761000000,-0.168997399809,-0.0431494892381,-2.6248271864099997
64,2821000000,-0.149479544656,-0.0360043754501,-2.6169028458900003
66,2861000000,-0.136499039974,-0.0311544152158,-2.6116205284
69,2921000000,-0.11707927864600001,-0.0237496403821,-2.60369793761
71,2961000000,-0.10384286605000001,-0.0186010890515,-2.59828363808
74,3021000000,-0.0848487009628,-0.011063924342700001,-2.5904959207900005
77,3081000000,-0.0655938806947,-0.00324718585562,-2.58257612676
79,3121000000,-0.0527922370866,0.0020489542582,-2.5772964376
81,3161000000,-0.040019058364699996,0.00741341277168,-2.57201431402
85,3241000000,-0.0145607400079,0.0183458483283,-2.56145792595
87,3281000000,-0.0018766143255199998,0.023914383355999998,-2.55618039293
89,3321000000,0.010777688962299999,0.0295495363468,-2.5509033132099996
92,3381000000,0.0297021634645,0.0381286640209,-2.5429884983599997
94,3421000000,0.042279648941,0.0439318787275,-2.5377125013
97,3481000000,0.06108705237369999,0.052762170123300006,-2.5297993087
99,3521000000,0.0735849803673,0.05873310424269999,-2.52452438004
102,3581000000,0.09227152493039999,0.0678136808108,-2.51661278328
104,3621000000,0.10468864560900001,0.07394966405,-2.5113389083400004
107,3681000000,0.123252244618,0.0832774549423,-2.50342887831
109,3721000000,0.135585905023,0.0895781258305,-2.49815603926
112,3781000000,0.14788513271700002,0.0959451498958,-2.492883609
114,3821000000,0.1662701217,0.10561694855,-2.48497573031
117,3881000000,0.184576333784,0.115436035055,-2.47706876242
119,3921000000,0.19673673378400003,0.12206264458100001,-2.47179793768
122,3981000000,0.214909739276,0.132124337857,-2.46389232272
124,4021000000,0.22698022651,0.138912039106,-2.45862131538
127,4082000000,0.245016882846,0.14921452065500002,-2.45071729753
129,4121000000,0.25699492780600003,0.156162888365,-2.44544841739
132,4181000000,0.274892616262,0.166703523629,-2.43754581861
134,4221000000,0.286777253437,0.173809869014,-2.43227790685
137,4281000000,0.304532410981,0.1845875495,-2.42437670979
139,4321000000,0.316320913769,0.19185120544300002,-2.41910971157
142,4381000000,0.333930424867,0.20286394757800003,-2.41120989907
144,4421000000,0.34562018181599996,0.210284312888,-2.40594380932
147,4481000000,0.363080365001,0.22153077309099997,-2.39804548551
149,4521000000,0.37467059648900003,0.229105173825,-2.39278028522
152,4581000000,0.39197968742,0.240582029515,-2.3848831533099997
154,4621000000,0.40346714214400003,0.24831043264000002,-2.37961881842
156,4661000000,0.41491380817100004,0.256099124017,-2.37435482836
160,4742000000,0.437679756553,0.271860294194,-2.3638278342900003
162,4782000000,0.449000916497,0.279831291766,-2.3585648885099997
164,4821000000,0.46027805765600005,0.287860834145,-2.3533022678599997
167,4881000000,0.477113448148,0.300018884386,-2.3454088986099997
169,4921000000,0.488283194484,0.30819818282,-2.34014706933
171,4961000000,0.499409210917,0.316436747809,-2.3348855580700003
174,5021000000,0.516014832192,0.328905745379,-2.32699388193
177,5081000000,0.532520213694,0.341506630183,-2.31910292756
179,5121000000,0.543468101951,0.349979737967,-2.3138426645599997
182,5181000000,0.554370007034,0.35851146668399997,-2.30858268803
184,5221000000,0.570637607154,0.37141702284500006,-2.30069331071
187,5281000000,0.58680159187,0.38445175562899997,-2.2928045829299997
189,5321000000,0.5975200047689999,0.39321256490900003,-2.2875458461
192,5381000000,0.613509169856,0.406460682142,-2.27965815755
194,5421000000,0.624109978633,0.415363100235,-2.2744001634299997
197,5481000000,0.639922087867,0.428821796827,-2.2665135572799997
199,5521000000,0.650403619964,0.437864061506,-2.26125623136
202,5581000000,0.666035334049,0.45153145639200004,-2.2533706496200003
204,5621000000,0.67639571115,0.46071206021000005,-2.2481139995099997
207,5681000000,0.691844339298,0.474585733215,-2.24022941177
209,5721000000,0.702081767528,0.483903038549,-2.23497341712
