%time,field.x,field.y,field.theta
1541000000,-0.529921837137,-0.0868816163436,-2.86727958193
1561000000,-0.529921837137,-0.0868816163436,-2.86727958193
1581000000,-0.518217669756,-0.0880181433656,-2.85749060805
1604000000,-0.512362666784,-0.0885417385537,-2.8525965482
1621000000,-0.506504808912,-0.0890361584173,-2.84770268686
1642000000,-0.500645482241,-0.0895017670065,-2.84280915889
1661000000,-0.49478364192,-0.0899396115367,-2.83791583177
1681000000,-0.488920150144,-0.0903484901587,-2.83302282823
1701000000,-0.483054792995,-0.0907282848346,-2.82813001864
1719000000,-0.483054481771,-0.0907281836683,-2.82812998682
1741000000,-0.471319395537,-0.0914007029272,-2.81834524341
1761000000,-0.465450060222,-0.0916934577213,-2.81345327419
1781000000,-0.459579060557,-0.0919569775438,-2.80856150066
1801000000,-0.45957854657,-0.0919567992744,-2.80856144178
1821000000,-0.447834926761,-0.0923970829554,-2.7987787835
1841000000,-0.44196203003,-0.0925736540096,-2.79388783592
1861000000,-0.436088113761,-0.0927209975194,-2.78899708475
1881000000,-0.430213832538,-0.0928392969453,-2.78410658796
1901000000,-0.424339761184,-0.0929287175226,-2.77921639719
1921000000,-0.418465352104,-0.092989002011,-2.77432643028
1942000000,-0.41259120912,-0.093020328943,-2.76943673949
1961000000,-0.40671680857,-0.0930224404073,-2.76454724579
1981000000,-0.400843163819,-0.0929956829491,-2.75965805127
2001000000,-0.400842737102,-0.0929955111472,-2.75965800182
2021000000,-0.38909742477,-0.0928537961292,-2.74988031069
2041000000,-0.383224395438,-0.0927392525888,-2.74499184989
2061000000,-0.377353456077,-0.0925963754366,-2.7401036366
2081000000,-0.371483971997,-0.0924246683743,-2.73521561848
2101000000,-0.365614834326,-0.0922235995426,-2.73032784679
2121000000,-0.359747413782,-0.0919937068734,-2.72544035933
2141000000,-0.353881262193,-0.0917347413525,-2.720553091
2161000000,-0.348017438871,-0.0914456427504,-2.71566607643
2181000000,-0.342154438942,-0.0911286406183,-2.71077927074
2201000000,-0.336293544614,-0.0907827791143,-2.70589270036
2221000000,-0.33043538746,-0.0904068129928,-2.7010063971
2241000000,-0.33043538746,-0.0904068129928,-2.7010063971
2261000000,-0.318724733475,-0.089569305807,-2.69123443541
2281000000,-0.312872819258,-0.0891075511712,-2.68634884713
2301000000,-0.307024209056,-0.0886159383659,-2.68146349276
2321000000,-0.306406985678,-0.0885062101477,-2.68113648615
2341000000,-0.306410619556,-0.0885036285402,-2.68113918064
2361000000,-0.300522136215,-0.0867629615993,-2.67868441678
2381000000,-0.293718257324,-0.0846622060291,-2.67426329983
2401000000,-0.287093350447,-0.0826309604133,-2.67161950471
2417000000,-0.287370937163,-0.0827716218831,-2.67239579962
2441000000,-0.27410943206,-0.0786424451158,-2.66710840266
2461000000,-0.267500611171,-0.0765587407064,-2.66446490727
2481000000,-0.260882845368,-0.0744498017485,-2.66182151811
2501000000,-0.254285849004,-0.072329999541,-2.65917825972
2521000000,-0.247670391033,-0.0701808652746,-2.65653510993
2541000000,-0.241084610325,-0.0680266407441,-2.6538921055
2561000000,-0.234489103064,-0.0658465345856,-2.65124919767
2581000000,-0.227904929181,-0.063651688674,-2.64860641273
2601000000,-0.227904929181,-0.063651688674,-2.64860641273
2621000000,-0.214771678687,-0.0592175244306,-2.64332124614
2641000000,-0.208215717084,-0.056975574447,-2.64067884957
2661000000,-0.201660543139,-0.0547132234453,-2.63803655046
2681000000,-0.201660543139,-0.0547132234453,-2.63803655046
2701000000,-0.188575833724,-0.0501400436394,-2.63275233723
2721000000,-0.18204269208,-0.047826174759,-2.63011043764
2741000000,-0.175517664631,-0.0454969731248,-2.62746863371
2761000000,-0.168997399809,-0.0431494892381,-2.62482718641
2781000000,-0.16248506438,-0.0407855119917,-2.62218562661
2801000000,-0.155978564029,-0.0384038453129,-2.61954417525
2821000000,-0.149479544656,-0.0360043754501,-2.61690284589
2841000000,-0.142986590076,-0.0335883822175,-2.61426164442
2861000000,-0.136499039974,-0.0311544152158,-2.6116205284
2881000000,-0.130018740352,-0.0287035419204,-2.60897953915
2901000000,-0.123545563743,-0.0262356852264,-2.60633868373
2921000000,-0.117079278646,-0.0237496403821,-2.60369793761
2941000000,-0.110619522441,-0.0212473119052,-2.60105731335
2961000000,-0.10384286605,-0.0186010890515,-2.59828363808
2981000000,-0.0977204597335,-0.0161901481965,-2.59577636884
3001000000,-0.0912801456468,-0.0136354798651,-2.59313610648
3021000000,-0.0848487009628,-0.0110639243427,-2.59049592079
3041000000,-0.0784232742364,-0.00847572785953,-2.58785587582
3061000000,-0.0720047868611,-0.00587037803621,-2.58521593467
3081000000,-0.0655938806947,-0.00324718585562,-2.58257612676
3101000000,-0.0591893985287,-0.000607588985976,-2.57993603466
3121000000,-0.0527922370866,0.0020489542582,-2.5772964376
3141000000,-0.0464020487025,0.00472266598354,-2.57465369599
3161000000,-0.0400190583647,0.00741341277168,-2.57201431402
3181000000,-0.0336435706863,0.0101210074413,-2.56937505444
3201000000,-0.0272751709665,0.0128457246115,-2.56673589701
3225000000,-0.0272751709665,0.0128457246115,-2.56673589701
3241000000,-0.0145607400079,0.0183458483283,-2.56145792595
3261000000,-0.00821477401276,0.0211212276443,-2.55881911063
3281000000,-0.00187661432552,0.023914383356,-2.55618039293
3302000000,0.0044543194559,0.0267235280624,-2.55354180162
3321000000,0.0107776889623,0.0295495363468,-2.55090331321
3341000000,0.0170934245202,0.032392369882,-2.54826493671
3361000000,0.0234016128039,0.0352520962205,-2.54562666283
3381000000,0.0297021634645,0.0381286640209,-2.54298849836
